source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration,flow_rate,label
10.0.1.185,194.33.12.212,31546,80,HTTPS,32,33056,21.5,1537.49,BENIGN
10.0.38.54,129.254.112.116,36923,443,TCP,199,195219,12.88,15156.75,BENIGN
10.0.211.99,106.107.192.70,38660,80,TCP,197,36839,14.99,2457.57,BENIGN
10.0.155.247,33.128.223.179,62859,53,HTTPS,30,6120,9.08,674.01,BENIGN
10.0.230.69,100.107.107.20,18181,80,DNS,28,9800,22.45,436.53,BENIGN
10.0.144.2,38.214.189.157,34807,53,DNS,86,27262,20.75,1313.83,BENIGN
10.0.100.96,139.228.98.83,27946,443,TCP,193,198983,1.01,197012.87,BENIGN
10.0.226.59,46.24.151.210,58059,31337,UDP,5,400,0.97,412.37,SUSPICIOUS
10.0.24.67,202.247.28.26,13039,44361,UDP,1302,395821,0.694,570347.26,ANOMALOUS
10.0.212.209,157.89.158.17,32345,6667,UDP,1,96,0.73,131.51,SUSPICIOUS
10.0.73.180,126.126.255.43,46629,9001,TCP,1813,14299131,2.28,6271548.68,MALICIOUS
10.0.192.158,38.42.108.11,11397,6643,DNS,2596,240070,75.034,3199.48,ANOMALOUS
10.0.179.66,73.24.188.234,41543,4444,HTTPS,4626,22667400,4.41,5140000.0,MALICIOUS
10.0.123.110,19.108.155.201,10394,80,HTTPS,44,60588,19.84,3053.83,BENIGN
10.0.125.126,68.1.233.205,7049,53,HTTPS,196,213640,26.95,7927.27,BENIGN
10.0.147.123,26.67.50.203,18139,4444,TCP,2912,10523968,2.35,4478284.26,MALICIOUS
10.0.198.176,97.119.231.73,27689,10308,DNS,7,168582,31.566,5340.62,ANOMALOUS
10.0.5.87,142.213.137.160,62505,443,HTTPS,16,18224,21.32,854.78,BENIGN
10.0.144.154,63.150.23.118,18275,80,HTTPS,45,27450,13.43,2043.93,BENIGN
10.0.126.105,17.17.246.142,58923,443,DNS,88,34232,29.41,1163.96,BENIGN
10.0.132.140,108.67.31.233,54438,53,DNS,95,94810,19.91,4761.93,BENIGN
10.0.14.14,9.189.234.125,7859,46294,TCP,2450,335471,47.688,7034.7,ANOMALOUS
10.0.51.243,94.13.36.224,17555,80,HTTPS,162,134460,4.54,29616.74,BENIGN
10.0.124.122,135.120.126.8,2451,443,TCP,185,257150,9.29,27680.3,BENIGN
10.0.194.252,162.119.235.33,11203,9001,TCP,3354,19332456,2.31,8369028.57,MALICIOUS
10.0.74.91,171.211.239.76,16127,1337,TCP,4345,16971570,4.13,4109338.98,MALICIOUS
10.0.3.97,217.223.238.21,18156,3389,UDP,3,162,1.0,162.0,SUSPICIOUS
10.0.165.44,119.224.131.149,59031,6667,TCP,1532,5723552,2.85,2008263.86,MALICIOUS
10.0.246.16,125.137.50.178,34875,80,HTTPS,177,187974,8.8,21360.68,BENIGN
10.0.12.41,1.251.230.104,25672,80,TCP,191,66468,12.54,5300.48,BENIGN
10.0.109.10,23.222.214.18,55212,53,HTTPS,28,33264,12.79,2600.78,BENIGN
10.0.11.33,9.217.242.248,61988,53,DNS,130,7800,2.29,3406.11,BENIGN
10.0.216.228,166.12.190.53,33869,6667,HTTPS,2656,11967936,4.6,2601725.22,MALICIOUS
10.0.250.120,61.228.234.215,9442,4444,TCP,8,520,0.12,4333.33,SUSPICIOUS
10.0.51.149,37.119.95.199,60274,9001,HTTPS,3338,24798002,1.61,15402485.71,MALICIOUS
10.0.35.216,24.138.242.179,21314,53,DNS,21,3864,21.96,175.96,BENIGN
